fname,target_word,speech_start,speech_end,gesture_start,gesture_end,word_form,source_file,source_video_start,source_video_end,source_width,source_height,num_frames,pad,bbox
entire/00000,entire,35,44,25,67,entire,7IwTua4AaRY,58.36,62.36,1920,1080,282,454,"[1259, 521, 2168, 1430]"
together/00000,together,45,54,31,62,together,cdBB70MhsjY,145.56,149.56,1280,720,2252,583,"[697, 385, 1863, 1551]"
below/00000,below,45,53,37,52,below,Pxw3bJ-xMHQ,459.6,463.6,1280,720,303,640,"[640, 360, 1920, 1640]"
height/00000,height,47,52,25,50,height,CQi_bnO0tas,454.72,458.72,1280,720,892,339,"[330, 380, 1009, 1059]"
open/00000,open,46,52,6,50,open,Bz687CSQWbg,101.52,105.52,1920,1080,3803,706,"[706, 577, 2119, 1990]"
grab/00000,grab,49,56,34,74,grab,tVpsiEmsSCw,563.68,567.68,1920,1080,119,542,"[673, 555, 1757, 1639]"
long/00000,long,46,53,34,56,long,dOKp874OtRA,278.48,282.48,1280,720,3564,376,"[903, 359, 1656, 1112]"
quick/00000,quick,44,55,30,70,quickly,WF9glHczKMY,322.52,326.52,1920,1080,1057,712,"[712, 567, 2136, 1991]"
wave/00000,wave,43,55,0,56,waving,lVctrJbwCPw,153.04,157.04,1920,1080,10403,960,"[960, 540, 2880, 2460]"
stretch/00000,stretch,43,56,5,76,stretching,ABPUKl_8wTg,201.64,205.64,1920,1080,14165,960,"[960, 574, 2880, 2494]"
begin/00000,begin,80,87,65,93,begin,ulNMjmfbSH8,31.92,35.92,1280,720,759,463,"[463, 432, 1390, 1359]"
wide/00000,wide,46,52,32,74,wide,oXSB0nsVyYA,77.4,81.4,1920,1080,812,954,"[966, 540, 2874, 2448]"
break/00000,break,3,12,0,29,breaks,39pDtcGuB_E,36.36,40.36,1280,720,163,360,"[648, 384, 1369, 1105]"
flip/00000,flip,46,52,34,66,flip,gogzKHB72ss,535.88,539.88,1280,720,1227,471,"[626, 376, 1569, 1319]"
join/00000,join,46,56,24,75,joining,tqC9X2vLsik,1229.36,1233.36,1280,720,113,460,"[517, 378, 1438, 1299]"
balance/00000,balance,45,54,25,50,balance,W-MWw1qdO9Y,79.04,83.04,1920,1080,6135,902,"[902, 540, 2706, 2344]"
long/00001,long,44,54,25,78,long,4NZV0ZvDm5c,271.72,275.72,1280,720,1134,632,"[648, 360, 1912, 1624]"
below/00001,below,47,51,0,53,below,LobJJzqKJFw,273.88,277.88,1920,1080,1299,659,"[811, 540, 2129, 1858]"
balance/00001,balance,1,11,0,33,balancing,vnC7bE399LI,484.76,488.76,1920,1080,116,908,"[908, 558, 2725, 2375]"
global/00000,global,44,55,28,62,global,AQ_dWHnHH54,779.56,783.56,1280,720,599,545,"[634, 374, 1725, 1465]"
straight/00000,straight,45,54,25,61,straight,J_b65KBIaDA,1159.44,1163.44,1920,1080,5740,960,"[960, 570, 2880, 2490]"
wrap/00000,wrap,47,52,0,99,wrap,RPLQdIaSEDY,367.76,371.76,1280,720,3466,560,"[565, 360, 1685, 1480]"
grab/00001,grab,46,53,36,71,grabbed,IoK-W8hh1Hg,362.6,366.6,1920,1080,1564,626,"[1241, 579, 2494, 1832]"
entire/00001,entire,53,63,25,73,entire,zqp_Cn6EUNo,741.08,745.08,1280,720,92,407,"[624, 377, 1439, 1192]"
big/00000,big,70,73,58,99,big,iUL_1_eVL0w,224.84,228.84,1280,720,247,360,"[924, 360, 1644, 1080]"
below/00002,below,67,71,40,77,below,OlHeQpzxtTM,310.16,314.16,1920,1080,340,573,"[783, 546, 1929, 1692]"
push/00000,push,46,52,35,70,push,tVYxvNLsRvs,372.48,376.48,1280,720,2621,584,"[686, 364, 1854, 1532]"
down/00000,down,43,55,36,84,down,d2jCuMwyUws,642.32,646.32,1280,720,332,364,"[364, 447, 1093, 1176]"
straight/00001,straight,44,54,25,66,straight,i5aNw492z4U,282.76,286.76,1280,720,19526,640,"[640, 360, 1920, 1640]"
circle/00000,circle,39,51,0,75,circles,uQXfYtJNeLI,370.0,374.0,1920,1080,192,778,"[1141, 577, 2698, 2134]"
cross/00000,cross,45,54,25,66,crossed,l8Z7qGtsHZs,978.96,982.96,1280,720,389,523,"[523, 359, 1570, 1406]"
increase/00000,increase,72,82,50,86,increasing,4t_MEO_la_k,344.56,348.56,1920,1080,531,636,"[730, 561, 2002, 1833]"
large/00000,large,45,54,34,65,large,o6CvmEVUxhY,372.84,376.84,1920,1080,513,960,"[960, 540, 2880, 2460]"
process/00000,process,43,55,29,62,process,vbCs4VEuUDI,494.0,498.0,1280,720,1062,495,"[785, 360, 1775, 1350]"
balance/00002,balance,43,56,41,99,balance,hC-zBsc1w-c,542.04,546.04,1920,1080,929,786,"[983, 539, 2556, 2112]"
hello/00000,hello,8,17,0,28,hello,_5b0ugnM3Uw,17.6,21.6,1920,1080,1418,865,"[1013, 553, 2743, 2283]"
bye/00000,bye,71,74,57,99,bye,SlGgrTB5aLk,429.8,433.8,1920,1080,10667,960,"[960, 540, 2880, 2460]"
collide/00000,collide,14,25,0,42,collides,lPYUcjfviX8,92.28,96.28,960,720,205,438,"[519, 384, 1396, 1261]"
rotate/00000,rotate,45,54,31,65,rotating,xSr6yHEP4rc,1420.56,1424.56,1920,1080,144,803,"[1117, 541, 2723, 2147]"
throw/00000,throw,44,54,26,86,throws,y1BImYjQslU,324.12,328.12,1280,720,5589,640,"[640, 360, 1920, 1640]"
rotate/00001,rotate,45,54,33,61,rotate,g6oPqjwYUFs,337.68,341.68,1920,1080,375,509,"[895, 677, 1808, 1367]"
hold/00000,hold,46,52,40,66,holding,QNsl5D-V8T0,550.28,554.28,1280,720,1503,513,"[767, 381, 1793, 1407]"
direction/00000,direction,76,86,40,79,direction,p_qqavyouYk,351.48,355.48,1920,1080,166,683,"[683, 568, 2049, 1934]"
push/00001,push,83,91,44,99,pushing,zih8_BqolS0,519.32,523.32,1280,720,1785,390,"[574, 320, 1355, 1101]"
spiral/00000,spiral,45,54,47,82,spirals,gCjYDZ8fUHk,45.6,49.6,1280,720,244,538,"[708, 359, 1785, 1436]"
direction/00001,direction,42,56,22,60,directions,E4ejrG7aCUc,136.16,140.16,1280,720,646,605,"[605, 359, 1816, 1570]"
push/00002,push,45,53,23,57,pushes,F9PYMn0DX6w,85.8,89.8,1920,1080,565,606,"[1100, 644, 2312, 1856]"
deep/00000,deep,45,53,14,62,deeper,W1HpHtzo8ds,204.16,208.16,1280,720,1448,628,"[652, 376, 1908, 1632]"
pause/00000,pause,45,53,0,59,pause,nijb6UMvZuE,65.28,69.28,1920,1080,673,434,"[676, 337, 1544, 1205]"
direction/00002,direction,86,95,50,98,direction,IPi-5C3Jqg0,90.84,94.84,1920,1080,237,704,"[774, 540, 2182, 1948]"
bye/00001,bye,86,89,51,99,bye,0aTG09Jg2fY,631.2,635.2,1280,720,100,640,"[640, 360, 1920, 1640]"
switch/00000,switch,43,50,25,69,switch,2Yug9LzGkxs,494.52,498.52,1920,1080,383,625,"[863, 559, 2113, 1809]"
big/00001,big,47,51,34,59,big,jKo-oy35mL0,249.36,253.36,1920,1080,576,785,"[1135, 544, 2705, 2114]"
together/00001,together,44,54,21,57,together,ihvkBpTZ8P8,59.84,63.84,1920,1080,1197,353,"[297, 405, 1004, 1112]"
separate/00000,separate,44,55,25,69,separate,972Yub--z5I,713.84,717.84,1920,1080,392,508,"[740, 570, 1757, 1587]"
deep/00001,deep,46,52,25,50,deep,T60Z4e64ciY,695.04,699.04,1280,720,272,310,"[268, 384, 888, 1004]"
